1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
Genre;Reseller;Project;Product;Title;GenreName;Run;RunNumber;Season;CapitalizationDate;NumberOfAmortizations;AmortizationFrequency;CumulativeCostInLocalCurrency;CumulativeLocalCurrency;CumulativeCostInContractCurrency;CumulativeContractCurrency;TotalCostInLocalCurrency;TotalLocalCurrency;TotalCostInContractCurrency;TotalContractCurrency;AmortizationType;ContractID;Creditor;ProductionNumber;Profit_Center;WBS_Nr;Asset_Nr;MinimumExploitationStartDate;MaximumExploitationEndDate
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200086935;Love Life II;Comedy 6.2.2.2;Run;1;2;25.10.2021;31;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C201812068;LIONS GATE TELEVISION;2002100656;370134;T1-07137-00003;;29.10.2021;28.4.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500233604;17 Again;Comedy 7.2.2;Run;1;;25.9.2023;18;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2000002370;370134;T1-07321-00003;;1.3.2022;25.2.2025
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);338522;200091119;Beck - Quid Pro Quo (48);Crime/Police;Run;1;;25.12.2022;13;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202103034;Filmlance International AB;3142100831;370134;T1-07510-00003;;10.3.2023;31.12.2030
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);338522;200091119;Beck - Quid Pro Quo (48);Crime/Police;Run;1;;25.12.2023;49;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202103034;Filmlance International AB;3142100831;370134;T1-07510-00003;;10.3.2023;31.12.2030
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200098957;Astrid & Lilly Save the World I;Comedy 6.2.2.2;Run;1;1;25.9.2022;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202204106;STX FINANCING;2002200363;370134;T1-08909-00003;;1.9.2022;31.8.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;200093817;Lajka/LIKEA I;Relationship 6.1.2.1;Run;1;1;25.4.2023;48;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202201021;FLX TV AB;3142200139;370134;T1-07889-00006;;6.4.2022;5.4.2032
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;500720180;Detention Adventure II;Drama series;Run;1;2;;0;Monthly;1;;1;;1;;1;;;C202003013;BLUE ANT MEDIA;2002000161;370134;T1-01888-00004;;1.8.2020;31.1.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200092852;Something to Hide I;Crime/Police;Run;1;1;25.3.2022;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002100943;370134;T1-08360-00003;;1.3.2022;31.8.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);340266;3730561;3:10 to Yuma;Western 7.2.8;Run;1;;25.4.2023;19;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;3161100802;370134;T1-02760-00006;;15.10.2021;14.5.2026
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;500234807;Beck - Gamen;Thriller 7.2.3;Run;1;;25.1.2022;60;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;C202001001;Nordisk Film TV Distribution A;2000002729;370134;T1-03645-00004;;1.1.2022;31.12.2027
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500705834;Bröllop, begravning och dop - Filmen/Stilla natt;Comedy 7.1.2;Run;1;;25.11.2023;13;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202012239;NORDISK FILM DISTRIBUTION A/S;3141900374;370134;T1-02245-00005;;1.11.2023;30.11.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200109263;Redemption I;Thriller, action 6.2.2.3;Run;1;1;25.11.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200744;370134;T1-09340-00003;;1.11.2023;30.4.2026
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;500729535;P-Valley I;Crime/Police;Run;1;1;25.1.2023;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C201812068;LIONS GATE TELEVISION;2002090031;370134;T1-02032-00003;;13.7.2020;3.12.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500255264;Moneyball;Other 7.2.99;Run;1;;25.5.2023;11;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202202057;Sony;2001200175;370134;T1-08231-00003;;1.5.2023;31.3.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;3533365;Solsidan III;Comedy 6.1.2.2;Run;1;3;25.9.2023;60;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202303105;SOLSIDAN PRODUKTION;3141100507;370134;T1-02137-00009;;1.4.2023;31.12.2033
T1-INC02 International Non-scripted;OTTOTH (OTT Other SE);;200103970;Case Against Cosby, The I;Documentary and biography;Run;1;1;25.12.2022;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202206163;Rive Gauche;2002200524;370134;T1-08949-00003;;1.12.2022;30.11.2024
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500678604;Ondskan I;Relationship 6.1.2.1;Run;1;1;30.11.2024;49;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B201901006;SF;3141800646;370134;T1-05988-00006;;2.11.2023;1.11.2033
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;5216749;Good Wife, The VI;Other 6.2.2.99;Run;1;6;25.11.2021;36;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202109207;CBS BROADCASTING INTERNATIONAL;3161400815;370134;T1-07211-00003;;1.11.2021;30.10.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200102936;Fargo III;Crime/Police;Run;1;3;25.8.2022;24;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202206149;MGM;2002200495;370134;T1-08951-00003;;1.8.2022;31.7.2024
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500542252;Begin Again;Music 7.2.10;Run;1;;25.3.2023;19;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;2001500230;370134;T1-07032-00003;;15.9.2021;14.9.2024
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;4426370;Maria Wern II (90 min);Crime/Police;Run;1;2;25.5.2023;19;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;B202107189;SF;3141200953;370134;T1-07465-00003;;19.11.2021;18.11.2024
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;500234898;Beck - Stockholm Maraton;Thriller 7.2.3;Run;1;;25.1.2022;60;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;C202001001;Nordisk Film TV Distribution A;2000002740;370134;T1-03656-00004;;1.1.2022;31.12.2027
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500629774;Solsidan VI;Comedy 6.1.2.2;Run;1;6;25.10.2022;1;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;B202210257;SOLSIDAN PRODUKTION;3141700569;370134;T1-02196-00008;;8.10.2022;7.10.2026
T1-INC01 International Scripted;OTTOTH (OTT Other SE);;200108759;Floodland I;Crime/Police;Run;1;1;25.5.2023;30;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202109213;GSN INTERNATIONAL LIMITED;2002200724;370134;T1-09328-00003;;1.5.2023;31.10.2025
T1-INC01 International Scripted;OTTOTH (OTT Other SE);338486;200129958;Dr. Death II (Paolo Macchiarini);Crime/Police;Run;1;2;25.1.2024;18;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C202002011;NBC UNIVERSAL;2002300660;370134;T1-10669-00003;;1.1.2024;30.6.2025
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500716939;Standalone SVOD Hayu;Other reality (contests, adventure);Run;1;;25.2.2021;12;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C202001004;NBC UNIVERSAL HAYU;2002000110;370134;T1-01876-00004;;1.3.2020;28.2.2025
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500716939;Standalone SVOD Hayu;Other reality (contests, adventure);Run;1;;25.3.2022;12;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C202001004;NBC UNIVERSAL HAYU;2002000110;370134;T1-01876-00004;;1.3.2020;28.2.2025
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500716939;Standalone SVOD Hayu;Other reality (contests, adventure);Run;1;;25.2.2022;1;Monthly;1;SEK;1;USD;1;SEK;1;USD;Straight line;C202001004;NBC UNIVERSAL HAYU;2002000110;370134;T1-01876-00004;;1.3.2020;28.2.2025
T1-DOS02 Domestic scripted movies;OTTOTH (OTT Other SE);;500596261;Beck - Den tunna isen;Crime/Police;Run;1;;25.1.2023;36;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C201604016;NORDISK FILM PRODUCTION SVERIGE AB;2001600211;370134;T1-00833-00003;;1.1.2023;31.12.2025
T1-DOS01 Domestic scripted series;OTTOTH (OTT Other SE);;500732247;Agatha Christies Hjerson I (44 min);Crime/Police;Run;1;1;25.8.2022;48;Monthly;1;SEK;1;SEK;1;SEK;1;SEK;Straight line;C202006048;B-REEL FEATURE FILMS;3142090082;370134;T1-02275-00007;;16.8.2021;15.8.2031
T1-INC03 International Movies;OTTOTH (OTT Other SE);;500598190;Now You See Me;Crime/Police;Run;1;;25.12.2023;12;Monthly;1;SEK;1;EUR;1;SEK;1;EUR;Straight line;B202310196;NORDISK FILM DISTRIBUTION A/S;2001600314;370134;T1-08061-00008;;1.12.2023;30.11.2024
