WBS_ELEMENT|CONTRACT_NUMBER|PRODUCTION_NUMBER|RESELLER_CODE|STATUS
T10634100009|V202012000171|F220001414|TVM0030|ERROR - MATCH NOT FOUND
T11010800004|W202303000043|KO23000213|TVM0030|ERROR - MATCH NOT FOUND
T11017100004|V202211000193|KO22001074|TVM0020|ERROR - MATCH NOT FOUND
T10790800005|V202112000215|KO21001187|TVM0034|ERROR - MATCH NOT FOUND
T10825700006|V202111000200|F221000914|TVM0032|ERROR - MATCH NOT FOUND
T10744300004|V202102000024|KO21000105|TVM0034|ERROR - MATCH NOT FOUND
T10817700003|V202202000027|F222000353|TVM0020|ERROR - MATCH NOT FOUND
T10907200008|V202206000118|KO22000496|TVM0030|ERROR - MATCH NOT FOUND
T10868200004|V202204000059|KO22000695|TVM0030|ERROR - MATCH NOT FOUND
T10741800004|V202111000177|KO21000821|TVM0034|ERROR - MATCH NOT FOUND
T10816600007|V202202000027|F222000419|TVM0034|ERROR - MATCH NOT FOUND
T10715200007|V202104000075|F218000361|TVM0020|ERROR - MATCH NOT FOUND
T10879500004|V202201000012|F222000671|TVM0030|ERROR - MATCH NOT FOUND
T10816800005|V202202000027|F222000919|TVM0031|ERROR - MATCH NOT FOUND
T10534300012|V201906000077|U419000484||ERROR - ONE OR MORE KEYS ARE MISSING
T10816400003|V202202000026|F222000156|TVM0020|ERROR - MATCH NOT FOUND
T10769000003|V202112000202|F221000845|TVM0034|ERROR - MATCH NOT FOUND
T10831500007|V202104000064|F221000040|TVM0034|ERROR - MATCH NOT FOUND
T11095700003|W202303000037|F223000166|TVM0034|ERROR - MATCH NOT FOUND
T10930600003|V202206000100|F222000148|TVM0034|ERROR - MATCH NOT FOUND
T10634200011|V202012000171|F220001414|TVM0034|ERROR - MATCH NOT FOUND
T10802700007|V202112000216|F221001199|TVM0034|ERROR - MATCH NOT FOUND
T10817600007|V202202000027|F222000919|TVM0034|ERROR - MATCH NOT FOUND
T10879900005|V202202000023|F222000042|TVM0031|ERROR - MATCH NOT FOUND
T10580200014|V202006000109|U420001084||ERROR - ONE OR MORE KEYS ARE MISSING
T10787100003|V202112000203|F221000899|TVM0031|ERROR - MATCH NOT FOUND
T11087800007|W202401000026|KO14000074|TVM0020|ERROR - MATCH NOT FOUND
T10801000007|V202110000172|F221001180|TVM0034|ERROR - MATCH NOT FOUND
T10712500005|V202109000158|KO21001118|TVM0030|ERROR - MATCH NOT FOUND
T10816800003|V202202000027|F222000919|TVM0020|ERROR - MATCH NOT FOUND
T10816500006|V202202000026|F222000204|TVM0032|ERROR - MATCH NOT FOUND
T10909700007|V202206000133|KO22000118|TVM0034|ERROR - MATCH NOT FOUND
T10817400003|V202202000027|F222000419|TVM0020|ERROR - MATCH NOT FOUND
T11097000005|W202403000142|F224000183|TVM0032|ERROR - MATCH NOT FOUND
T10735600005|V202110000172|F221000007|TVM0034|ERROR - MATCH NOT FOUND
T11087800003|W202401000026|KO14000074|TVM0030|ERROR - MATCH NOT FOUND
T10817300007|V202202000026|F222000204|TVM0034|ERROR - MATCH NOT FOUND
T10824900004|V202012000171|F220001414|TVM0030|ERROR - MATCH NOT FOUND
T10614200004|V202109000167|F220001560|TVM0020|ERROR - MATCH NOT FOUND
T10798800007|V202112000204|F221001091|TVM0034|ERROR - MATCH NOT FOUND
T10892200004|V202011000142|KO20001611|TVM0030|ERROR - MATCH NOT FOUND
T10879600004|V202203000048|F222000101|TVM0030|ERROR - MATCH NOT FOUND
T10884800003|V202205000085|KO22000640|TVM0020|ERROR - MATCH NOT FOUND
T10885500004|V202204000063|F211001364|TVM0030|ERROR - MATCH NOT FOUND
T10936400005|V202209000155|F222000442|TVM0020|ERROR - MATCH NOT FOUND
T10804600003|V202111000176|F221001103|TVM0020|ERROR - MATCH NOT FOUND
T10715400010|V202104000075|F221000099|TVM0020|ERROR - MATCH NOT FOUND
T10907200009|V202206000118|KO22000496|TVM0034|ERROR - MATCH NOT FOUND
T10825700007|V202111000200|F221000914|TVM0034|ERROR - MATCH NOT FOUND
T10689500004|V202104000056|F221000286|TVM0030|ERROR - MATCH NOT FOUND
T10751400003|V202111000186|KO21001181|TVM0020|ERROR - MATCH NOT FOUND
T10984500005|V202301000006|KO23000365|TVM0020|ERROR - MATCH NOT FOUND
T10590400003|V202012000164|F220001370|TVM0030|ERROR - MATCH NOT FOUND
T10733800003|V201801000014|KO18000719|TVM0020|ERROR - MATCH NOT FOUND
T10929500003|V202206000107|F222000237|TVM0034|ERROR - MATCH NOT FOUND
T10817500005|V202202000027|F222000420|TVM0031|ERROR - MATCH NOT FOUND
T11095800003|W202304000054|F223000439|TVM0034|ERROR - MATCH NOT FOUND
T10817000007|V202202000030|KO22001232|TVM0034|ERROR - MATCH NOT FOUND
T10879800005|V202202000023|F222000930|TVM0031|ERROR - MATCH NOT FOUND
T10902700004|V202204000064|F222000495|TVM0030|ERROR - MATCH NOT FOUND
T10799000007|V202112000207|F221001157|TVM0034|ERROR - MATCH NOT FOUND
T10796800003|V202112000220|F221001144|TVM0020|ERROR - MATCH NOT FOUND
T10824900007|V202012000171|F220001414|TVM0034|ERROR - MATCH NOT FOUND
T10880000003|V202203000037|U422000690|TVM0020|ERROR - MATCH NOT FOUND
